,anime_id,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme
917,813,Dragon Ball Z,Dragon Ball Z,ドラゴンボールZ,"DBZ, Dragonball Z",https://myanimelist.cdn-dena.com/images/anime/6/20936.jpg,TV,Manga,291,Finished Airing,False,"Apr 26, 1989 to Jan 31, 1996","{'from': '1989-04-26', 'to': '1996-01-31'}",24 min. per ep.,PG-13 - Teens 13 or older,8.31,367982,228.0,70,534974,21295,"The U.S. version is a dubbed alternative version of the Original Japanese anime. For example, blood has been taken out, beer is called root-beer, dead is called ""Another Universe"" and people emigrate before the destroying of cities. (Source: YouTube movie - Anime History Day)The U.S. version edited and compiled the original for a reduced episode count of 276, instead of the original 291. The proper episode count was later restored on the uncut ""Orange Brick"" Season Set releases by FUNimation Entertainment released from 2006 to 2009. Additionally, the North American ""Orange Brick"" Season Sets as well as the Season Set Blu-rays crop the show from its original 4:3 aspect ratio to 16:9. The only complete 4:3 release ever released in English were the Dragon Boxes which have long since gone out of print.",Spring 1989,Wednesdays at 19:00 (JST),"{'Adaptation': [{'mal_id': 42, 'type': 'manga', 'url': 'https://myanimelist.net/manga/42/Dragon_Ball', 'title': 'Dragon Ball'}], 'Prequel': [{'mal_id': 223, 'type': 'anime', 'url': 'https://myanimelist.net/anime/223/Dragon_Ball', 'title': 'Dragon Ball'}], 'Sequel': [{'mal_id': 225, 'type': 'anime', 'url': 'https://myanimelist.net/anime/225/Dragon_Ball_GT', 'title': 'Dragon Ball GT'}], 'Side story': [{'mal_id': 894, 'type': 'anime', 'url': 'https://myanimelist.net/anime/894/Dragon_Ball_Z_Movie_01__Ora_no_Gohan_wo_Kaese', 'title': 'Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!'}, {'mal_id': 895, 'type': 'anime', 'url': 'https://myanimelist.net/anime/895/Dragon_Ball_Z_Movie_02__Kono_Yo_de_Ichiban_Tsuyoi_Yatsu', 'title': 'Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu'}, {'mal_id': 896, 'type': 'anime', 'url': 'https://myanimelist.net/anime/896/Dragon_Ball_Z_Movie_03__Chikyuu_Marugoto_Choukessen', 'title': 'Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen'}, {'mal_id': 897, 'type': 'anime', 'url': 'https://myanimelist.net/anime/897/Dragon_Ball_Z_Movie_04__Super_Saiyajin_da_Son_Gokuu', 'title': 'Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu'}, {'mal_id': 898, 'type': 'anime', 'url': 'https://myanimelist.net/anime/898/Dragon_Ball_Z_Movie_05__Tobikkiri_no_Saikyou_tai_Saikyou', 'title': 'Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou'}, {'mal_id': 899, 'type': 'anime', 'url': 'https://myanimelist.net/anime/899/Dragon_Ball_Z_Movie_06__Gekitotsu_100-oku_Power_no_Senshi-tachi', 'title': 'Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi'}, {'mal_id': 900, 'type': 'anime', 'url': 'https://myanimelist.net/anime/900/Dragon_Ball_Z_Movie_07__Kyokugen_Battle_Sandai_Super_Saiyajin', 'title': 'Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin'}, {'mal_id': 901, 'type': 'anime', 'url': 'https://myanimelist.net/anime/901/Dragon_Ball_Z_Movie_08__Moetsukiro_Nessen_Ressen_Chougekisen', 'title': 'Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen'}, {'mal_id': 902, 'type': 'anime', 'url': 'https://myanimelist.net/anime/902/Dragon_Ball_Z_Movie_09__Ginga_Girigiri_Bucchigiri_no_Sugoi_Yatsu', 'title': 'Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu'}, {'mal_id': 903, 'type': 'anime', 'url': 'https://myanimelist.net/anime/903/Dragon_Ball_Z_Movie_10__Kiken_na_Futari_Super_Senshi_wa_Nemurenai', 'title': 'Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai'}, {'mal_id': 904, 'type': 'anime', 'url': 'https://myanimelist.net/anime/904/Dragon_Ball_Z_Movie_11__Super_Senshi_Gekiha_Katsu_no_wa_Ore_da', 'title': 'Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da'}, {'mal_id': 905, 'type': 'anime', 'url': 'https://myanimelist.net/anime/905/Dragon_Ball_Z_Movie_12__Fukkatsu_no_Fusion_Gokuu_to_Vegeta', 'title': 'Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta'}, {'mal_id': 906, 'type': 'anime', 'url': 'https://myanimelist.net/anime/906/Dragon_Ball_Z_Movie_13__Ryuuken_Bakuhatsu_Goku_ga_Yaraneba_Dare_ga_Yaru', 'title': 'Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Goku ga Yaraneba Dare ga Yaru'}, {'mal_id': 984, 'type': 'anime', 'url': 'https://myanimelist.net/anime/984/Dragon_Ball_Z__Saiya-jin_Zetsumetsu_Keikaku', 'title': 'Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku'}, {'mal_id': 985, 'type': 'anime', 'url': 'https://myanimelist.net/anime/985/Dragon_Ball_Z_Special_2__Zetsubou_e_no_Hankou_Nokosareta_Chousenshi_-_Gohan_to_Trunks', 'title': 'Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks'}, {'mal_id': 986, 'type': 'anime', 'url': 'https://myanimelist.net/anime/986/Dragon_Ball_Z_Special_1__Tatta_Hitori_no_Saishuu_Kessen', 'title': 'Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen'}, {'mal_id': 5152, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5152/Dragon_Ball__Ossu_Kaettekita_Son_Gokuu_to_Nakama-tachi', 'title': 'Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!'}, {'mal_id': 6714, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6714/Dragon_Ball_Z__Atsumare_Gokuu_World', 'title': 'Dragon Ball Z: Atsumare! Gokuu World'}, {'mal_id': 10017, 'type': 'anime', 'url': 'https://myanimelist.net/anime/10017/Dragon_Ball__Super_Saiya-jin_Zetsumetsu_Keikaku', 'title': 'Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku'}, {'mal_id': 12231, 'type': 'anime', 'url': 'https://myanimelist.net/anime/12231/Dragon_Ball__Episode_of_Bardock', 'title': 'Dragon Ball: Episode of Bardock'}, {'mal_id': 14837, 'type': 'anime', 'url': 'https://myanimelist.net/anime/14837/Dragon_Ball_Z_Movie_14__Kami_to_Kami', 'title': 'Dragon Ball Z Movie 14: Kami to Kami'}, {'mal_id': 22699, 'type': 'anime', 'url': 'https://myanimelist.net/anime/22699/Dragon_Ball_Z__Zenbu_Misemasu_Toshi_Wasure_Dragon_Ball_Z', 'title': 'Dragon Ball Z: Zenbu Misemasu Toshi Wasure Dragon Ball Z!'}, {'mal_id': 25389, 'type': 'anime', 'url': 'https://myanimelist.net/anime/25389/Dragon_Ball_Z_Movie_15__Fukkatsu_no_F', 'title': 'Dragon Ball Z Movie 15: Fukkatsu no F'}, {'mal_id': 30694, 'type': 'anime', 'url': 'https://myanimelist.net/anime/30694/Dragon_Ball_Super', 'title': 'Dragon Ball Super'}, {'mal_id': 33947, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33947/Dragon_Ball_Z__The_Real_4-D', 'title': 'Dragon Ball Z: The Real 4-D'}], 'Alternative version': [{'mal_id': 6033, 'type': 'anime', 'url': 'https://myanimelist.net/anime/6033/Dragon_Ball_Kai', 'title': 'Dragon Ball Kai'}, {'mal_id': 22777, 'type': 'anime', 'url': 'https://myanimelist.net/anime/22777/Dragon_Ball_Kai_2014', 'title': 'Dragon Ball Kai (2014)'}], 'Character': [{'mal_id': 23933, 'type': 'anime', 'url': 'https://myanimelist.net/anime/23933/Kyutai_Panic_Adventure', 'title': 'Kyutai Panic Adventure!'}, {'mal_id': 23935, 'type': 'anime', 'url': 'https://myanimelist.net/anime/23935/Kyutai_Panic_Adventure_Returns', 'title': 'Kyutai Panic Adventure Returns!'}]}",Fuji TV,Funimation,Toei Animation,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power","['#1: ""Cha-La Head-Cha-La"" by Hironobu Kageyama (eps 1-199)', '#2: ""We Gotta Power"" by Hironobu Kageyama (eps 200-291)']","['#1: ""Dete Koi Tobikiri ZENKAI Power!"" by MANNA (eps 1-199)', '#2: ""Boku-tachi wa Tenshi datta"" by Hironobu Kageyama (eps 200-291)']"
932,24833,Ansatsu Kyoushitsu,Assassination Classroom,暗殺教室,Ansatsu Kyoushitsu,https://myanimelist.cdn-dena.com/images/anime/5/75639.jpg,TV,Manga,22,Finished Airing,False,"Jan 10, 2015 to Jun 20, 2015","{'from': '2015-01-10', 'to': '2015-06-20'}",23 min. per ep.,PG-13 - Teens 13 or older,8.22,313058,289.0,59,574476,9953,,Winter 2015,Saturdays at 00:55 (JST),"{'Adaptation': [{'mal_id': 39883, 'type': 'manga', 'url': 'https://myanimelist.net/manga/39883/Ansatsu_Kyoushitsu', 'title': 'Ansatsu Kyoushitsu'}], 'Alternative version': [{'mal_id': 19759, 'type': 'anime', 'url': 'https://myanimelist.net/anime/19759/Ansatsu_Kyoushitsu__Jump_Festa_2013_Special', 'title': 'Ansatsu Kyoushitsu: Jump Festa 2013 Special'}], 'Prequel': [{'mal_id': 28405, 'type': 'anime', 'url': 'https://myanimelist.net/anime/28405/Ansatsu_Kyoushitsu__Deai_no_Jikan', 'title': 'Ansatsu Kyoushitsu: Deai no Jikan'}], 'Sequel': [{'mal_id': 30654, 'type': 'anime', 'url': 'https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season', 'title': 'Ansatsu Kyoushitsu 2nd Season'}], 'Other': [{'mal_id': 33511, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33511/Koro-sensei_Q', 'title': 'Koro-sensei Q!'}], 'Summary': [{'mal_id': 33513, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33513/Ansatsu_Kyoushitsu__365-nichi_no_Jikan', 'title': 'Ansatsu Kyoushitsu: 365-nichi no Jikan'}]}","Dentsu, Fuji TV, DAX Production, BS Fuji, Avex Pictures, Shueisha",Funimation,Lerche,"Action, Comedy, School, Shounen","['#1: ""Seishun Satsubatsu-ron (青春サツバツ論)"" by 3-nen E-gumi Utatan (3年E組うた担) [Mai Fuchigami, Aya Suzaki, Nobuhiko Okamoto, Ryota Osaka, Shintaro Asanuma] (eps 1-6, 9-11)', '#2: ""Seishun Satsubatsu-ron (青春サツバツ論)"" by 3-nen E-gumi Shuugakuryokou 4-han (3年E組 修学旅行4班) [Mai Fuchigami, Aya Suzaki, Nobuhiko Okamoto, Yoshitaka Yamaya, Satomi Sato] (eps 7-8)', '#3: ""Jiriki Hongan Revolution (自力本願レボリューション)"" by 3-nen E-gumi Utatan (3年E組うた担) [Mai Fuchigami, Aya Suzaki, Nobuhiko Okamoto, Ryota Osaka, Shintaro Asanuma] (eps 12-22)']","['""Hello, shooting-star"" by moumoon']"
960,9260,Kizumonogatari I: Tekketsu-hen,Kizumonogatari Part 1: Tekketsu,傷物語〈Ⅰ鉄血篇〉,Koyomi Vamp,https://myanimelist.cdn-dena.com/images/anime/12/76485.jpg,Movie,Light novel,1,Finished Airing,False,"Jan 8, 2016","{'from': '2016-01-08', 'to': '2016-01-08'}",1 hr. 4 min.,R - 17+ (violence & profanity),8.43,81479,150.0,392,192398,1025,,,,"{'Adaptation': [{'mal_id': 14893, 'type': 'manga', 'url': 'https://myanimelist.net/manga/14893/Monogatari_Series__First_Season', 'title': 'Monogatari Series: First Season'}], 'Sequel': [{'mal_id': 31757, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen', 'title': 'Kizumonogatari II: Nekketsu-hen'}]}","Aniplex, Kodansha",Aniplex of America,Shaft,"Mystery, Supernatural, Vampire",[],[]
993,1088,Macross,Macross,超時空要塞マクロス,"Choujikuu Yousai Macross, Cho Jiku Yosai Macross, Super Dimensional Fortress Macross, SDF Macross, Robotech (U.S.)",https://myanimelist.cdn-dena.com/images/anime/1/2441.jpg,TV,Original,36,Finished Airing,False,"Oct 3, 1982 to Jun 26, 1983","{'from': '1982-10-03', 'to': '1983-06-26'}",26 min. per ep.,PG-13 - Teens 13 or older,8.04,21647,511.0,1367,58501,1246,,Fall 1982,Unknown,"{'Adaptation': [{'mal_id': 16675, 'type': 'manga', 'url': 'https://myanimelist.net/manga/16675/Macross__My_Fair_Minmay__Dreaming_Prelude', 'title': 'Macross: My Fair Minmay ~ Dreaming Prelude'}, {'mal_id': 17259, 'type': 'manga', 'url': 'https://myanimelist.net/manga/17259/Choujikuu_Yousai_Macross__The_First', 'title': 'Choujikuu Yousai Macross: The First'}], 'Prequel': [{'mal_id': 194, 'type': 'anime', 'url': 'https://myanimelist.net/anime/194/Macross_Zero', 'title': 'Macross Zero'}], 'Sequel': [{'mal_id': 474, 'type': 'anime', 'url': 'https://myanimelist.net/anime/474/Macross_Plus', 'title': 'Macross Plus'}], 'Alternative version': [{'mal_id': 1089, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1089/Macross__Do_You_Remember_Love', 'title': 'Macross: Do You Remember Love?'}], 'Summary': [{'mal_id': 1504, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1504/Macross_Flash_Back_2012', 'title': 'Macross Flash Back 2012'}], 'Other': [{'mal_id': 5051, 'type': 'anime', 'url': 'https://myanimelist.net/anime/5051/Macross_XX', 'title': 'Macross XX'}, {'mal_id': 31494, 'type': 'anime', 'url': 'https://myanimelist.net/anime/31494/Mini-Chara_Macross', 'title': 'Mini-Chara Macross'}]}",Studio Nue,ADV Films,"Artland, Tatsunoko Production","Action, Mecha, Military, Music, Romance, Sci-Fi, Space","['""マクロス (Macross)"" by Makoto Fujiwara']","['#1: ""ランナー (Runner)"" by Makoto Fujiwara (eps 1-35)', '#2: ""ランナー (Runner)"" by Mari Iijima (ep 36)']"
1007,27821,Fate/stay night: Unlimited Blade Works - Prologue,Fate/stay night: Unlimited Blade Works - Prologue,Fate/stay night [Unlimited Blade Works] プロローグ,Fate/stay night (2014) Episode 00,https://myanimelist.cdn-dena.com/images/anime/9/67425.jpg,Special,Visual novel,1,Finished Airing,False,"Oct 5, 2014","{'from': '2014-10-05', 'to': '2014-10-05'}",51 min.,PG-13 - Teens 13 or older,8.23,97351,285.0,526,152748,270,"Episode 0 was previewed at screenings in Osaka, Los Angeles, France, Germany, and Korea on September 28, 2014. Regular broadcasting was on October 5, 2014.",,,"{'Prequel': [{'mal_id': 11741, 'type': 'anime', 'url': 'https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season', 'title': 'Fate/Zero 2nd Season'}], 'Sequel': [{'mal_id': 22297, 'type': 'anime', 'url': 'https://myanimelist.net/anime/22297/Fate_stay_night__Unlimited_Blade_Works', 'title': 'Fate/stay night: Unlimited Blade Works'}]}","Aniplex, Notes",Aniplex of America,ufotable,"Action, Supernatural, Magic, Fantasy",[],"['#1. ""ideal white"" by Ayano Mashiro', '#2. ""Unlimited Blade Works"" composed by Hideyuki Fukasawa']"
1028,32281,Kimi no Na wa.,Your Name.,君の名は。,,https://myanimelist.cdn-dena.com/images/anime/5/87048.jpg,Movie,Original,1,Finished Airing,False,"Aug 26, 2016","{'from': '2016-08-26', 'to': '2016-08-26'}",1 hr. 46 min.,PG-13 - Teens 13 or older,9.19,471398,2.0,33,730076,34912,,,,"{'Adaptation': [{'mal_id': 99314, 'type': 'manga', 'url': 'https://myanimelist.net/manga/99314/Kimi_no_Na_wa', 'title': 'Kimi no Na wa.'}, {'mal_id': 111747, 'type': 'manga', 'url': 'https://myanimelist.net/manga/111747/Kimi_no_Na_wa', 'title': 'Kimi no Na wa.'}], 'Other': [{'mal_id': 33902, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33902/Suntory_Minami_Alps_no_Tennen_Mizu', 'title': 'Suntory Minami Alps no Tennen Mizu'}]}","Kadokawa Shoten, Toho, Sound Team Don Juan, Lawson HMV Entertainment, Amuse, East Japan Marketing &amp; Communications","Funimation, NYAV Post",CoMix Wave Films,"Supernatural, Drama, Romance, School","['""Yume Tourou (夢灯籠)"" by RADWIMPS']","['""Nandemonaiya (なんでもないや)"" by RADWIMPS']"
1055,1364,Detective Conan Movie 05: Countdown to Heaven,Case Closed Movie 5: Countdown to Heaven,名探偵コナン 天国へのカウントダウン,Meitantei Conan: Tengoku e no Count Down,https://myanimelist.cdn-dena.com/images/anime/9/20105.jpg,Movie,Manga,1,Finished Airing,False,"Apr 21, 2001","{'from': '2001-04-21', 'to': '2001-04-21'}",1 hr. 40 min.,PG-13 - Teens 13 or older,8.24,20250,274.0,1991,33141,34,,,,"{'Adaptation': [{'mal_id': 109214, 'type': 'manga', 'url': 'https://myanimelist.net/manga/109214/Detective_Conan__Countdown_to_Heaven', 'title': 'Detective Conan: Countdown to Heaven'}], 'Parent story': [{'mal_id': 235, 'type': 'anime', 'url': 'https://myanimelist.net/anime/235/Detective_Conan', 'title': 'Detective Conan'}]}",,Funimation,TMS Entertainment,"Adventure, Police, Comedy, Mystery, Shounen",[],"['""Always"" by Mai Kuraki']"
1080,5941,Cross Game,Cross Game,クロスゲーム,,https://myanimelist.cdn-dena.com/images/anime/6/22103.jpg,TV,Manga,50,Finished Airing,False,"Apr 5, 2009 to Mar 28, 2010","{'from': '2009-04-05', 'to': '2010-03-28'}",23 min. per ep.,PG-13 - Teens 13 or older,8.5,29517,102.0,1167,70545,2114,,Spring 2009,Unknown,"{'Adaptation': [{'mal_id': 1183, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1183/Cross_Game', 'title': 'Cross Game'}]}","TV Tokyo, Shogakukan Productions",,SynergySP,"Comedy, Drama, Romance, School, Sports","['""Summer Rain"" by Kobukuro']","['#1: ""Koikogarete Mita Yume (恋焦がれて見た夢)"" by Ayaka (eps 1-13)', '#2: ""Orange Days (オレンジDays)"" by SQUAREHOOD (eps 14-26)', '#3: ""Moeru You na Koi Janai Kedo (燃えるような恋じゃないけど)"" by Tsuru (鶴) (eps 27-39)', '#4: ""Rehearsal (リハーサル)"" by Natsuko Kondo (近藤夏子) (eps 40-49)', '#5: ""Koi Suru Otome (恋スル乙女)"" by Natsuko Kondo (近藤夏子) (ep 50)']"
1094,7311,Suzumiya Haruhi no Shoushitsu,The Disappearance of Haruhi Suzumiya,涼宮ハルヒの消失,"The Vanishment of Haruhi Suzumiya, Suzumiya Haruhi no Syoshitsu, Haruhi Movie",https://myanimelist.cdn-dena.com/images/anime/2/73842.jpg,Movie,Light novel,1,Finished Airing,False,"Feb 6, 2010","{'from': '2010-02-06', 'to': '2010-02-06'}",2 hr. 42 min.,PG-13 - Teens 13 or older,8.73,179475,45.0,181,323704,8525,The film won the Best Theatrical Film award at the 2010 Animation Kobe Awards.,,,"{'Adaptation': [{'mal_id': 3083, 'type': 'manga', 'url': 'https://myanimelist.net/manga/3083/Suzumiya_Haruhi_Series', 'title': 'Suzumiya Haruhi Series'}], 'Prequel': [{'mal_id': 4382, 'type': 'anime', 'url': 'https://myanimelist.net/anime/4382/Suzumiya_Haruhi_no_Yuuutsu_2009', 'title': 'Suzumiya Haruhi no Yuuutsu (2009)'}], 'Alternative version': [{'mal_id': 26351, 'type': 'anime', 'url': 'https://myanimelist.net/anime/26351/Nagato_Yuki-chan_no_Shoushitsu', 'title': 'Nagato Yuki-chan no Shoushitsu'}]}","Kadokawa Shoten, Animation Do","Funimation, Bandai Entertainment",Kyoto Animation,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural","['""Bouken Desho Desho? (冒険でしょでしょ?)"" by Aya Hirano']","['""Yasashii Boukyaku (優しい忘却)"" by Minori Chihara']"
1121,512,Majo no Takkyuubin,Kiki&#039;s Delivery Service,魔女の宅急便,Witch&#039;s Express Delivery,https://myanimelist.cdn-dena.com/images/anime/10/75916.jpg,Movie,Novel,1,Finished Airing,False,"Jul 29, 1989","{'from': '1989-07-29', 'to': '1989-07-29'}",1 hr. 45 min.,G - All Ages,8.29,139857,250.0,340,215744,2020,The film won the 1989 Animage&#039;s Anime Grand Prix Award.,,,"{'Alternative version': [{'mal_id': 35770, 'type': 'anime', 'url': 'https://myanimelist.net/anime/35770/Hungry_Days__Aoharu_ka_yo', 'title': 'Hungry Days: Aoharu ka yo.'}]}",,"Walt Disney Studios, GKIDS","Studio Ghibli, Studio Hibari","Adventure, Comedy, Drama, Magic, Romance, Fantasy","['""Rouge no Dengon (ルージュの伝言; Message of Rouge)"" by Yumi Arai (Japanese version - ""Witch Express Delivery"")', '""Soaring"" by Sydney Forest (English/US Disney version - ""Kiki&#039;s Delivery Service"")']","['""I&#039;m Gonna Fly"" by Sydney Forest  (English/US Disney version - ""Kiki&#039;s Delivery Service)', '""Yasashisa ni Tsutsumareta nara (やさしさに包まれたなら)"" by Yumi Arai (Japanese version - ""Witch Express Delivery"")']"
1133,28735,Shouwa Genroku Rakugo Shinjuu,Showa Genroku Rakugo Shinju,昭和元禄落語心中,Showa and Genroku Era Lover&#039;s Suicide Through Rakugo,https://myanimelist.cdn-dena.com/images/anime/2/77907.jpg,TV,Manga,13,Finished Airing,False,"Jan 9, 2016 to Apr 2, 2016","{'from': '2016-01-09', 'to': '2016-04-02'}",26 min. per ep.,PG-13 - Teens 13 or older,8.63,47463,66.0,590,141260,3259,Shouwa Genroku Rakugo Shinjuu covers the first five volumes of the manga. The original voice cast of the OVA reprised their roles for the animated TV series.,Winter 2016,Saturdays at 02:25 (JST),"{'Adaptation': [{'mal_id': 26704, 'type': 'manga', 'url': 'https://myanimelist.net/manga/26704/Shouwa_Genroku_Rakugo_Shinjuu', 'title': 'Shouwa Genroku Rakugo Shinjuu'}], 'Alternative version': [{'mal_id': 25801, 'type': 'anime', 'url': 'https://myanimelist.net/anime/25801/Shouwa_Genroku_Rakugo_Shinjuu__Yotarou_Hourou-hen', 'title': 'Shouwa Genroku Rakugo Shinjuu: Yotarou Hourou-hen'}], 'Sequel': [{'mal_id': 33095, 'type': 'anime', 'url': 'https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen', 'title': 'Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen'}]}","Starchild Records, Mainichi Broadcasting System, Kodansha, DAX Production",,Studio Deen,"Drama, Historical, Josei","['""Usurai Shinjuu (薄ら氷心中)"" by Megumi Hayashibara (eps 3, 5-8, 10, 13)']","['#1: ""Usurai Shinjuu (薄ら氷心中)"" by Megumi Hayashibara (ep 1)', '#2: ""Kawa, Taredoki (かは、たれどき)"" by Kana Shibue (eps 2-9, 11, 13)']"
1135,16,Hachimitsu to Clover,Honey and Clover,ハチミツとクローバー,"HachiKuro, Honey & Clover",https://myanimelist.cdn-dena.com/images/anime/11/73923.jpg,TV,Manga,24,Finished Airing,False,"Apr 15, 2005 to Sep 27, 2005","{'from': '2005-04-15', 'to': '2005-09-27'}",23 min. per ep.,PG-13 - Teens 13 or older,8.14,54404,382.0,500,160519,3618,Hachimitsu to Clover was the first anime to air on Fuji Television&#039;s noitaminA block.,Spring 2005,Fridays at 00:35 (JST),"{'Adaptation': [{'mal_id': 1009, 'type': 'manga', 'url': 'https://myanimelist.net/manga/1009/Hachimitsu_to_Clover', 'title': 'Hachimitsu to Clover'}], 'Side story': [{'mal_id': 644, 'type': 'anime', 'url': 'https://myanimelist.net/anime/644/Hachimitsu_to_Clover_Specials', 'title': 'Hachimitsu to Clover Specials'}], 'Sequel': [{'mal_id': 1142, 'type': 'anime', 'url': 'https://myanimelist.net/anime/1142/Hachimitsu_to_Clover_II', 'title': 'Hachimitsu to Clover II'}]}","Genco, Fuji TV, Shueisha",Viz Media,J.C.Staff,"Comedy, Drama, Josei, Romance, Slice of Life","['""Dramatic"" by Yuki']","['#1: ""Waltz"" by Suneohair (eps 1-12, 24)', '#2: ""Mistake"" by THE BAND HAS NO NAME (eps 13-23)']"
1136,302,Mirai Shounen Conan,Future Boy Conan,未来少年コナン,The Boy in Future,https://myanimelist.cdn-dena.com/images/anime/6/17529.jpg,TV,Novel,26,Finished Airing,False,"Apr 4, 1978 to Oct 31, 1978","{'from': '1978-04-04', 'to': '1978-10-31'}",29 min. per ep.,PG-13 - Teens 13 or older,8.13,7754,404.0,2531,22039,258,,Spring 1978,Tuesdays at 19:30 (JST),"{'Sequel': [{'mal_id': 2613, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2613/Mirai_Shounen_Conan_2__Taiga_Daibouken', 'title': 'Mirai Shounen Conan 2: Taiga Daibouken'}], 'Alternative setting': [{'mal_id': 2613, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2613/Mirai_Shounen_Conan_2__Taiga_Daibouken', 'title': 'Mirai Shounen Conan 2: Taiga Daibouken'}], 'Side story': [{'mal_id': 2614, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2614/Mirai_Shounen_Conan__Kyodaiki_Gigant_no_Fukkatsu', 'title': 'Mirai Shounen Conan: Kyodaiki Gigant no Fukkatsu'}], 'Summary': [{'mal_id': 7308, 'type': 'anime', 'url': 'https://myanimelist.net/anime/7308/Mirai_Shounen_Conan_Movie', 'title': 'Mirai Shounen Conan (Movie)'}]}",,,Nippon Animation,"Adventure, Drama, Sci-Fi","['""Ima Chikyuu ga Mezameru (今地球がめざめる)"" by Naozuki Kamada and Yuuko Yamaji']","['""Shiawase no Yokan (幸せの予感)"" by Naozuki Kamada and Yuuko Yamaji']"
1180,1033,Sennen Joyuu,Millennium Actress,千年女優,"Chiyoko Millennial Actress, Sennen Joyuu Chiyoko",https://myanimelist.cdn-dena.com/images/anime/1/1033.jpg,Movie,Original,1,Finished Airing,False,"Sep 14, 2002","{'from': '2002-09-14', 'to': '2002-09-14'}",1 hr. 27 min.,PG-13 - Teens 13 or older,8.32,38301,226.0,1041,79777,1251,"The film won the awards of Best Animation Film and Fantasia Ground-Breaker at the 2001 Fantasia Film Festival. It was also awarded the Feature Film Award at the 8th Animation Kobe. In 2002, it won the prestigious Ofuji Noburo Award at the Mainichi Film Awards, and was honored with the Orient Express Award at the 2001 Festival de Cine de Sitges in Spain. The film was nominated for four Annie Awards in 2004, including Outstanding Direction and Writing.",,,[],"Bandai Visual, WOWOW, Genco, Kadokawa Shoten, KlockWorx",DreamWorks,Madhouse,"Action, Adventure, Historical, Drama, Romance, Fantasy","['""Chiyoko no Theme Mode-1 (千代子のテーマ MODE-1)"" by Susumu Hirasawa']","['""Rotation [lotus-2]"" by Susumu Hirasawa']"
